SpeciesAnal,mean_TwigHerbProp,sd_TwigHerbProp,p25_TwigHerbProp,median_TwigHerbProp,p75_TwigHerbProp
Eucalyptus_tereticornis,15.9915765875,11.139404017684793,5.52634595,17.8418165,24.8614993
Endiandra_leptodendron,11.329002917857142,4.178445498728769,8.655499625000001,11.1546769,14.248624900000001
Celtis_latifolia,10.69028713939394,3.348166750607967,8.8866842,10.9025883,12.3418471
Dysoxylum_sp.,9.99587872,4.040174701367307,7.6093043,9.5301295,12.0244165
Betula_maximowicziana,9.500936683333334,4.205513539823335,5.846213875,9.5719481,13.177410175
Haplostichanthus_ramiflorus,7.49038952,6.16594190379471,3.2336981499999995,5.13445855,9.728319925000001
Gymnacranthera_paniculata,7.165294856666667,3.6963686703771512,3.105362125,8.4654649,9.657916024999999
Fraxinus_lanuginosa,6.483557893333334,5.5591713344564795,1.257185975,5.53958025,9.75281735
Carpinus_cordata,6.3516610857142854,8.570772878370478,1.1720488,2.4529912,6.65467655
Garcinia_cowa,6.06822702,1.1404869801273898,5.3848804,6.1362581,6.778176350000001
Pittosporopsis_kerrii,6.040462481818182,1.3549055147901956,4.74774235,6.2525917,6.7930201
Prunus_ssiori,5.960879825,7.0772621631152965,2.2132983499999996,2.5841591,8.469720025
Orophea_laui,5.953089473333334,0.757272711466513,5.399151600000001,5.9503082,6.5583904
Ficus_erythrosperma,5.82225554074074,4.013251395418995,1.6868524,7.2730299,8.950151049999999
Dysoxylum_arborescens,5.742579861290323,3.3533974153147157,4.0981491000000005,5.0583716,6.07687605
Diospyros_kaki,5.7319351,0.8115881780427742,5.1566982999999995,5.6729810999999994,6.5149476
Chrysophyllum_roxburghii,5.647517609677419,2.4170384829704545,4.43268295,6.1313146,6.6710887
Shorea_wangtianshuea,5.63997014,0.9141699934148437,5.0328397,5.738232699999999,6.2367833
Baccaurea_ramiflora,5.543460942857143,1.2679743585348124,4.411489725,5.70343115,6.264283825
Cleidion_brevipetiolatum,5.491370353333333,1.3922989351687434,4.7819682,5.1691163,6.531245949999999
Saprosma_ternata,5.45410485,1.335152646063106,4.923767475,5.77592435,6.34688825
Syringa_reticulata,5.168296139285714,2.8795008851668267,3.2806181249999997,5.4857204,7.03765675
Rockinghamia_angustifolia,5.003662223333333,1.7299165924454107,3.7205803750000004,4.60439655,5.969963025
Acer_platanoides,4.925894623333334,2.5834245365186352,3.5518238,4.2730589000000005,5.097410675
Erythrospermum_candidum,4.899548133333333,2.133726383873422,3.6197338499999994,4.5835229,6.39681695
Magnolia_kobus,4.75325035,7.308404219084774,1.0459703500000002,1.89338175,4.0414499
Pometia_pinnata,4.6164006933333335,2.4192789865907973,2.7607752,4.474362450000001,6.329652225
Fraxinus_excelsior,6.3045822344827585,10.742011733234555,2.4851231,3.1956529999999996,5.1131839
Myristica_globosa,4.354322366666667,2.0714704030169626,3.1656862,3.9905136499999996,4.69389185
Quercus_robur,4.054547893333333,3.4591618006519638,1.7563162749999999,3.75662565,5.1871226749999995
Breynia_oblingifolia,3.735992716666667,5.087991407895196,0.150772075,1.3167255,6.2976261000000004
Tilia_cordata,3.2882782857142856,3.0391699082719326,1.0134159,2.0564620000000002,4.16248455
Eucalyptus_pruinosa,3.2244469766666666,2.453651169480226,1.29425225,3.40088755,4.853957200000001
Acer_mono,3.2183052392857143,5.999058284828203,0.9628106500000001,1.98275685,3.041709375
Pimelodendron_amboinicum,3.212113803333333,2.5491568659570496,1.137488725,2.8427988500000003,4.881678075
Bursaria_spinosa,2.925874403448276,2.718209515113954,0.8787345999999999,2.4418224,3.9914561
Acer_palmatum,2.9168637535714286,2.6173449740539674,1.093932,2.2286555000000003,4.637809125
Acer_pseudoplatanus,2.6933515333333333,3.908618619939399,0.7624001,1.0454066,1.6688365750000003
Carpinus_betulus,2.67250849,1.2735038729971946,1.94803105,2.4694419,3.2236214000000003
Ulmus_glabra,2.322154,1.5853464496835254,1.005545125,1.9395335999999999,3.649149575
Acacia_parramattensis,2.3137499775862067,4.446994047473948,0.23426410000000003,0.65680385,1.29309615
NA,6.684801402777778,3.35216623285105,4.0830950249999995,5.420131700000001,8.785995975
